title,link,length
Helping Valve to power up Steam devices,https://www.igalia.com/2025/11/helpingvalve.html,39
LAPD Helicopter Tracker with Real-Time Operating Costs,https://lapdhelicoptertracker.com/,54
Show HN: Wealthfolio 2.0- Open source investment tracker. Now Mobile and Docker,https://wealthfolio.app/?v=2.0,79
The Untold History of Arduino,https://arduinohistory.github.io/,29
Arduino published updated terms and conditions: no longer an open commons,https://www.molecularist.com/2025/11/did-qualcomm-kill-arduino-for-good.html,73
You can make PS2 games in JavaScript,https://jslegenddev.substack.com/p/you-can-now-make-ps2-games-in-javascript,36
Pixar: The Early Days A never-before-seen 1996 interview,https://stevejobsarchive.com/stories/pixar-early-days,56
"Childhood Friends, Not Moms, Shape Attachment Styles Most",https://nautil.us/childhood-friends-not-moms-shape-attachment-styles-most-1247316/,57
We should all be using dependency cooldowns,https://blog.yossarian.net/2025/11/21/We-should-all-be-using-dependency-cooldowns,43
Samsung's 60% DRAM Price Hike Signals a New Phase of Global Memory Tightening,https://www.buysellram.com/blog/samsungs-memory-price-surge-sends-shockwaves-through-the-global-dram-market/,77
Solving Fizz Buzz with Cosines,https://susam.net/fizz-buzz-with-cosines.html,30
Tuxedo Computers Cancels Snapdragon X1 Linux Laptop,https://www.tuxedocomputers.com/en/Discontinuation-of-ARM-notebooks-with-Snapdragon-X-Elite-SoC.tuxedo,51
Building a Durable Execution Engine with SQLite,https://www.morling.dev/blog/building-durable-execution-engine-with-sqlite/,47
Shop Sans is a typeface for curved text paths,https://www.futurefonts.com/hex/shop-sans,45
We remain alive also in a dead internet,https://slavoj.substack.com/p/why-we-remain-alive-also-in-a-dead-954,39
FAWK: LLMs can write a language interpreter,https://martin.janiczek.cz/2025/11/21/fawk-llms-can-write-a-language-interpreter.html,43
"Prozac 'no better than placebo' for treating children with depression, experts",https://www.theguardian.com/society/2025/nov/20/prozac-no-better-than-placebo-for-treating-children-with-depression-experts-say,78
Pivot Robotics (YC W24) Is Hiring for an Industrial Automation Hardware Engineer,https://www.ycombinator.com/companies/pivot-robotics/jobs/7xG9Dc6-mechanical-engineer-controls,80
Olmo 3: Charting a path through the model flow to lead open-source AI,https://allenai.org/blog/olmo3,69
Is Matrix Multiplication Ugly?,https://mathenchant.wordpress.com/2025/11/21/is-matrix-multiplication-ugly/,30
"You only live once, self host a NAT Gateway",https://www.awsistoohard.com/blog/self-hosting-nat-gateway,43
Making a Small RPG,https://jslegenddev.substack.com/p/making-a-small-rpg,18
Command Lines,https://www.wreflection.com/p/command-lines-ai-coding,13
XBMC 4.0 for the Original Xbox,https://www.xbox-scene.info/articles/announcing-xbmc-40-for-the-original-xbox-r64/,30
The senior population is booming. Caregiving is struggling to keep up,https://www.cnbc.com/2025/11/21/senior-caregiving-labor.html,69
Homeschooling hits record numbers,https://reason.com/2025/11/19/homeschooling-hits-record-numbers/,33
It's hard to build an oscillator,https://lcamtuf.substack.com/p/its-hard-to-build-an-oscillator,32
EXIF orientation info in PNGs isn't used for image-orientation: from-image,https://bugzilla.mozilla.org/show_bug.cgi?id=1627423,74
"Scientists now know that bees can process time, a first in insects",https://www.cnn.com/2025/11/12/science/bees-visual-stimulus-study-scli-intl,66
We remember the internet bubble. This mania looks and feels the same,https://crazystupidtech.com/2025/11/21/boom-bubble-bust-boom-why-should-ai-be-different/,68
